City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tiksi,RU,2022-06-19 05:34:45,71.6872,128.8694,43.75,74,88,20.76
68,Dunmore Town,BS,2022-06-19 05:34:45,25.5,-76.65,81.95,74,48,11.12
69,Kalmunai,LK,2022-06-19 05:34:46,7.4167,81.8167,89.24,57,99,6.89
70,Catemaco,MX,2022-06-19 05:34:46,18.4167,-95.1167,72.9,88,92,2.3
71,Belaya Gora,RU,2022-06-19 05:34:46,68.5333,146.4167,71.1,29,100,14.58
72,Los Llanos De Aridane,ES,2022-06-19 05:34:47,28.6585,-17.9182,67.75,94,100,12.66
73,Albany,US,2022-06-19 05:34:47,42.6001,-73.9662,53.02,66,90,12.33
74,San Carlos De Bariloche,AR,2022-06-19 05:30:38,-41.1456,-71.3082,38.95,87,75,19.57
75,Ondjiva,AO,2022-06-19 05:34:48,-17.0667,15.7333,52.05,52,0,6.64
76,Wajima,JP,2022-06-19 05:34:48,37.4,136.9,81.28,69,40,14.97
77,Longyearbyen,SJ,2022-06-19 05:34:49,78.2186,15.6401,42.64,75,75,14.97
78,Bredasdorp,ZA,2022-06-19 05:34:49,-34.5322,20.0403,47.8,79,4,6.67
79,Shingu,JP,2022-06-19 05:34:49,33.7333,135.9833,80.85,67,100,8.88
80,Pangai,TO,2022-06-19 05:34:50,-19.8,-174.35,79.09,80,13,19.64
81,Havre-Saint-Pierre,CA,2022-06-19 05:34:50,50.2334,-63.5986,50.36,76,100,19.57
82,Nikolskoye,RU,2022-06-19 05:34:50,59.7035,30.7861,65.88,85,100,11.18
83,Moengo,SR,2022-06-19 05:34:51,5.6167,-54.4,71.82,99,46,2.13
84,Leshukonskoye,RU,2022-06-19 05:34:51,64.8989,45.7622,49.87,66,98,5.41
85,Hithadhoo,MV,2022-06-19 05:34:52,-0.6,73.0833,82.02,70,100,0.69
86,Port Blair,IN,2022-06-19 05:33:17,11.6667,92.75,89.64,58,40,8.05
87,Port Augusta,AU,2022-06-19 05:34:52,-32.5,137.7667,60.78,49,94,21.0
88,Santa Cruz De La Palma,ES,2022-06-19 05:34:53,28.6835,-17.7642,71.74,64,100,12.66
89,Castro,BR,2022-06-19 05:34:53,-24.7911,-50.0119,43.45,98,2,4.32
90,Norman Wells,CA,2022-06-19 05:35:53,65.282,-126.8329,77.04,31,75,5.75
91,Puerto Ayora,EC,2022-06-19 05:35:54,-0.7393,-90.3518,69.55,98,83,3.0
92,Bambous Virieux,MU,2022-06-19 05:35:54,-20.3428,57.7575,76.21,83,75,14.97
93,Minnedosa,CA,2022-06-19 05:35:55,50.2453,-99.8436,73.96,85,99,9.26
94,Ancud,CL,2022-06-19 05:35:55,-41.8697,-73.8203,42.22,92,100,5.1
95,Beaverlodge,CA,2022-06-19 05:34:41,55.2166,-119.4361,52.95,94,65,4.85
96,Ponta Do Sol,PT,2022-06-19 05:35:56,32.6667,-17.1,69.71,80,19,3.89
97,Kapaa,US,2022-06-19 05:35:56,22.0752,-159.319,82.38,85,100,13.8
98,Saint-Francois,FR,2022-06-19 05:35:56,46.4154,3.9054,72.84,56,0,5.75
99,Georgetown,MY,2022-06-19 05:33:40,5.4112,100.3354,84.15,79,40,5.99
100,Metro,ID,2022-06-19 05:35:57,-5.1131,105.3067,85.59,67,62,5.39
101,Zambezi,ZM,2022-06-19 05:35:57,-13.5432,23.1047,57.02,56,54,4.16
102,Tukrah,LY,2022-06-19 05:35:58,32.5341,20.5791,75.69,59,0,6.13
103,Carnarvon,AU,2022-06-19 05:35:58,-24.8667,113.6333,70.66,55,50,14.88
104,Peterhead,GB,2022-06-19 05:35:59,57.5058,-1.7981,52.2,84,70,21.92
105,Terrasini,IT,2022-06-19 05:35:59,38.146,13.0844,77.72,73,0,5.75
106,Geraldton,AU,2022-06-19 05:35:59,-28.7667,114.6,64.81,82,75,18.41
107,Yellowknife,CA,2022-06-19 05:36:00,62.456,-114.3525,59.56,67,20,3.44
108,Qom,IR,2022-06-19 05:36:00,34.6401,50.8764,89.33,18,0,6.82
109,Kruisfontein,ZA,2022-06-19 05:36:00,-34.0033,24.7314,47.88,88,7,7.83
110,Itarema,BR,2022-06-19 05:36:01,-2.9248,-39.9167,74.19,87,70,10.98
111,Monrovia,LR,2022-06-19 05:33:46,6.3005,-10.7969,76.77,78,24,5.3
112,Kerewan,GM,2022-06-19 05:36:02,13.4898,-16.0888,76.86,77,99,7.45
113,Sabha,LY,2022-06-19 05:36:02,27.0377,14.4283,80.37,19,0,10.2
114,Palmer,US,2022-06-19 05:31:03,42.1584,-72.3287,53.24,79,75,9.22
115,Anadyr,RU,2022-06-19 05:36:03,64.75,177.4833,59.5,55,65,13.42
116,Berdigestyakh,RU,2022-06-19 05:36:03,62.0989,126.6992,77.31,28,89,7.29
117,Bandarbeyla,SO,2022-06-19 05:36:04,9.4942,50.8122,87.12,43,50,28.86
118,Ketchikan,US,2022-06-19 05:33:10,55.3422,-131.6461,54.3,89,96,1.16
119,Ouro Preto Do Oeste,BR,2022-06-19 05:36:04,-10.7481,-62.2158,67.32,98,50,4.34
120,Kismayo,SO,2022-06-19 05:36:05,-0.3582,42.5454,81.16,69,77,16.78
121,Provideniya,RU,2022-06-19 05:36:05,64.3833,-173.3,55.33,53,10,7.25
122,Chokurdakh,RU,2022-06-19 05:36:05,70.6333,147.9167,54.0,61,100,16.89
123,Vung Tau,VN,2022-06-19 05:31:53,10.346,107.0843,85.55,72,60,7.65
124,Ahipara,NZ,2022-06-19 05:36:06,-35.1667,173.1667,58.15,91,91,7.56
125,Saint George,US,2022-06-19 05:35:37,37.1041,-113.5841,81.19,6,0,10.36
126,Katobu,ID,2022-06-19 05:36:07,-4.9408,122.5276,76.23,87,100,7.56
127,Hualmay,PE,2022-06-19 05:36:07,-11.0964,-77.6139,61.11,82,37,6.64
128,Saldanha,ZA,2022-06-19 05:36:08,-33.0117,17.9442,48.25,73,62,3.94
129,Bondo,CD,2022-06-19 05:36:08,3.8146,23.6866,67.62,100,100,0.94
130,Cape Town,ZA,2022-06-19 05:32:53,-33.9258,18.4232,53.11,92,20,8.05
131,Antofagasta,CL,2022-06-19 05:36:03,-23.65,-70.4,58.28,81,8,1.03
132,Olafsvik,IS,2022-06-19 05:36:09,64.8945,-23.7142,48.76,87,99,18.37
133,Osmaniye,TR,2022-06-19 05:36:09,37.0742,36.2478,80.74,60,0,6.38
134,Airai,TL,2022-06-19 05:36:10,-8.9266,125.4092,71.73,53,13,3.78
135,Havoysund,NO,2022-06-19 05:37:10,70.9963,24.6622,46.63,79,98,12.37
136,Chuy,UY,2022-06-19 05:37:10,-33.6971,-53.4616,40.3,68,2,8.59
137,Yankton,US,2022-06-19 05:37:11,42.8711,-97.3973,84.11,74,0,18.41
138,Gandajika,CD,2022-06-19 05:37:11,-6.75,23.95,70.18,47,64,2.37
139,Raudeberg,NO,2022-06-19 05:37:12,61.9875,5.1352,52.95,91,100,10.71
140,Sao Gabriel Da Cachoeira,BR,2022-06-19 05:37:12,-0.1303,-67.0892,71.6,98,83,1.48
141,Kaitangata,NZ,2022-06-19 05:37:12,-46.2817,169.8464,44.76,86,100,7.56
142,Benguela,AO,2022-06-19 05:37:13,-12.5763,13.4055,65.66,85,28,1.66
143,Hambantota,LK,2022-06-19 05:37:13,6.1241,81.1185,88.14,74,20,8.05
144,Marawi,PH,2022-06-19 05:37:14,7.9986,124.2928,75.97,88,88,3.91
145,Half Moon Bay,US,2022-06-19 05:37:14,37.4636,-122.4286,58.91,81,20,18.41
146,Vostok,RU,2022-06-19 05:37:15,46.4856,135.8833,61.81,89,79,5.66
147,Nuuk,GL,2022-06-19 05:35:13,64.1835,-51.7216,43.41,87,100,12.66
148,Northam,GB,2022-06-19 05:37:15,51.0333,-4.2167,53.62,83,98,14.41
149,Cotonou,BJ,2022-06-19 05:37:16,6.3654,2.4183,75.18,94,20,2.3
150,Port-Gentil,GA,2022-06-19 05:36:11,-0.7193,8.7815,73.36,88,75,6.91
151,Lorengau,PG,2022-06-19 05:37:16,-2.0226,147.2712,83.41,66,6,7.63
152,Dingle,PH,2022-06-19 05:37:17,10.9995,122.6711,89.17,61,100,5.93
153,Dharchula,IN,2022-06-19 05:37:17,29.85,80.5333,87.44,33,53,7.27
154,Bathsheba,BB,2022-06-19 05:37:17,13.2167,-59.5167,81.21,74,40,21.85
155,Nishihara,JP,2022-06-19 05:37:18,26.1842,127.7558,87.85,79,75,17.27
156,Mar Del Plata,AR,2022-06-19 05:35:45,-38.0023,-57.5575,42.1,67,0,1.99
157,Dosso,NE,2022-06-19 05:37:18,13.049,3.1937,81.27,62,76,7.0
158,Hasaki,JP,2022-06-19 05:37:19,35.7333,140.8333,90.28,77,84,15.1
159,Ajtos,BG,2022-06-19 05:37:19,42.7,27.25,69.22,60,0,7.76
160,La Asuncion,VE,2022-06-19 05:37:19,11.0333,-63.8628,78.53,94,7,11.5
161,Sitka,US,2022-06-19 05:37:20,57.0531,-135.33,55.29,71,100,9.22
162,Turan,VN,2022-06-19 05:36:40,16.0678,108.2208,102.18,37,20,3.44
163,Mount Isa,AU,2022-06-19 05:37:21,-20.7333,139.5,80.37,26,15,6.91
164,Armentieres,FR,2022-06-19 05:37:21,50.6857,2.8821,58.01,78,82,1.99
165,Severo-Kurilsk,RU,2022-06-19 05:37:22,50.6789,156.125,47.89,95,100,2.86
166,Caravelas,BR,2022-06-19 05:37:22,-17.7125,-39.2481,68.04,92,0,1.28
167,Waipawa,NZ,2022-06-19 05:37:23,-41.4122,175.5153,45.57,81,84,14.18
168,Sawakin,SD,2022-06-19 05:37:23,19.1059,37.3321,96.82,28,90,2.86
169,Neepawa,CA,2022-06-19 05:37:23,50.2289,-99.4664,75.6,79,93,11.79
170,Muravlenko,RU,2022-06-19 05:37:24,63.7898,74.523,72.12,37,76,8.39
