City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
69,Broken Hill,-31.95,141.4333,63.16,35,76,13.49,AU,broken clouds
70,Half Moon Bay,37.4636,-122.4286,67.77,76,0,21.85,US,mist
71,Jamestown,42.097,-79.2353,58.64,71,0,4.61,US,clear sky
72,Russell,32.3502,-85.1999,80.2,73,0,0.0,US,clear sky
73,Praia,14.9215,-23.5087,75.15,92,100,8.9,CV,light rain
74,Uzhur,55.3036,89.8339,60.3,81,100,1.61,RU,light rain
75,Dalvik,65.9702,-18.5286,55.33,98,100,6.26,IS,overcast clouds
76,Changying,52.8733,123.3213,57.29,96,100,11.03,CN,moderate rain
77,Carballo,43.213,-8.691,55.9,94,100,3.56,ES,overcast clouds
78,Ouegoa,-20.35,164.4333,74.79,54,2,9.48,NC,clear sky
79,Punta Arenas,-53.15,-70.9167,35.71,80,0,12.66,CL,clear sky
80,Olafsvik,64.8945,-23.7142,48.22,93,100,10.78,IS,overcast clouds
81,Emba,48.8264,58.1442,69.62,54,61,15.64,KZ,broken clouds
82,Kilinochchi,9.3961,80.3982,87.26,63,97,12.21,LK,overcast clouds
83,Gornyy,55.1153,83.9059,65.75,73,40,5.28,RU,scattered clouds
84,Nedjo,9.5046,35.5019,56.41,98,100,2.8,ET,overcast clouds
85,General Pico,-35.6566,-63.7568,47.08,63,100,6.17,AR,overcast clouds
86,Ancud,-41.8697,-73.8203,41.23,89,99,6.78,CL,overcast clouds
87,Vaini,-21.2,-175.2,82.56,83,40,20.71,TO,scattered clouds
88,Jalu,29.0331,21.5482,76.73,41,0,4.9,LY,clear sky
89,Khash,28.2211,61.2158,83.23,20,2,18.12,IR,clear sky
90,Maniwaki,46.3834,-75.966,57.58,47,25,5.75,CA,scattered clouds
91,Cherskiy,68.75,161.3,66.2,31,100,14.0,RU,overcast clouds
92,Quatre Cocos,-20.2078,57.7625,68.09,69,3,12.1,MU,clear sky
93,Lobez,53.6392,15.6213,53.69,90,97,3.91,PL,overcast clouds
94,Camacari,-12.6975,-38.3242,78.57,91,56,7.11,BR,broken clouds
95,Souillac,-20.5167,57.5167,66.58,88,40,4.61,MU,light intensity shower rain
96,Outjo,-20.1167,16.15,40.68,91,57,6.76,NA,broken clouds
97,Clyde River,70.4692,-68.5914,32.23,86,100,23.02,CA,overcast clouds
98,Dalianwan,39.0286,121.695,77.04,78,75,8.95,CN,broken clouds
99,Mandan,46.8267,-100.8896,87.78,70,0,9.22,US,clear sky
100,Calbuco,-41.768,-73.1273,45.61,84,100,10.51,CL,overcast clouds
101,Vao,-22.6667,167.4833,70.95,56,8,17.31,NC,clear sky
102,Lompoc,34.6391,-120.4579,62.74,71,0,13.8,US,clear sky
103,Sitka,57.0531,-135.33,51.69,87,100,10.36,US,light rain
104,Mandera,3.9366,41.867,75.43,59,55,15.39,KE,broken clouds
105,Faanui,-16.4833,-151.75,79.7,76,24,21.16,PF,light rain
106,Dabakala,8.3667,-4.4333,72.28,86,34,3.11,CI,scattered clouds
107,Mareeba,-17.0,145.4333,75.49,57,23,8.05,AU,few clouds
108,Puerto Baquerizo Moreno,-0.9,-89.6,70.27,90,91,11.59,EC,overcast clouds
109,Hirara,24.8,125.2833,88.07,79,75,18.41,JP,broken clouds
110,Roma,43.2128,-75.4557,52.72,84,1,4.61,US,clear sky
111,Saint Anthony,45.0205,-93.218,88.75,59,0,13.8,US,clear sky
112,Steamboat Springs,40.485,-106.8317,62.19,68,40,9.22,US,scattered clouds
113,Yellowknife,62.456,-114.3525,70.32,24,20,11.5,CA,few clouds
114,Bosaso,11.2842,49.1816,92.55,36,83,20.83,SO,broken clouds
115,Ajdabiya,30.7554,20.2263,72.99,54,0,2.08,LY,clear sky
116,Kapaa,22.0752,-159.319,82.38,82,75,11.5,US,broken clouds
117,Whitehorse,60.7161,-135.0538,63.37,30,75,12.66,CA,broken clouds
118,Khatanga,71.9667,102.5,55.62,39,100,5.35,RU,overcast clouds
119,Acari,-15.4311,-74.6158,62.47,73,32,2.24,PE,scattered clouds
120,Yuzhou,34.1628,113.4639,101.43,23,2,11.32,CN,clear sky
121,Midland,31.9974,-102.0779,86.25,36,0,14.97,US,clear sky
122,Albany,42.6001,-73.9662,59.41,60,2,5.01,US,clear sky
123,Solnechnyy,50.7214,136.6319,63.88,69,98,5.06,RU,overcast clouds
124,Mahuva,21.0914,71.7622,88.11,65,54,11.7,IN,broken clouds
125,Ust-Ilimsk,58.0006,102.6619,60.19,87,100,6.96,RU,overcast clouds
126,Shache,38.4167,77.2406,73.58,38,99,3.33,CN,light rain
127,Pizarro,4.9533,-77.366,76.87,90,98,5.26,CO,moderate rain
128,Acapulco,16.8634,-99.8901,82.22,78,100,8.05,MX,overcast clouds
129,Celestun,20.8667,-90.4,79.05,82,99,15.14,MX,overcast clouds
130,Kalmunai,7.4167,81.8167,84.76,70,97,3.98,LK,overcast clouds
131,Dikson,73.5069,80.5464,36.86,92,100,11.14,RU,overcast clouds
132,Tautira,-17.7333,-149.15,78.51,74,41,19.44,PF,scattered clouds
133,Vanavara,60.34,102.2797,66.02,43,95,10.76,RU,overcast clouds
134,Carutapera,-1.195,-46.02,74.75,93,77,5.46,BR,broken clouds
135,Besikduzu,41.052,39.2284,71.49,86,96,1.5,TR,overcast clouds
136,Tirthahalli,13.7,75.2333,76.48,72,100,7.25,IN,overcast clouds
137,Portoferraio,42.8115,10.3146,69.17,64,0,12.53,IT,clear sky
138,Arraial Do Cabo,-22.9661,-42.0278,68.65,74,28,11.27,BR,scattered clouds
139,Koryazhma,61.3143,47.1691,52.39,98,100,2.8,RU,overcast clouds
140,Hilo,19.7297,-155.09,81.28,77,40,10.36,US,scattered clouds
141,Leh,34.1667,77.5833,49.1,45,96,5.03,IN,overcast clouds
142,Mar Del Plata,-38.0023,-57.5575,45.09,88,75,0.0,AR,broken clouds
143,Castro,-24.7911,-50.0119,49.57,93,68,3.78,BR,broken clouds
144,Leningradskiy,69.3833,178.4167,55.51,55,81,6.46,RU,broken clouds
145,Bikaner,28.0167,73.3,90.82,51,7,7.65,IN,clear sky
146,Abu Dhabi,24.4667,54.3667,95.11,52,23,12.66,AE,few clouds
147,Riyadh,24.6877,46.7219,82.54,7,4,2.33,SA,clear sky
148,Hasaki,35.7333,140.8333,88.29,82,100,12.46,JP,overcast clouds
149,Cap Malheureux,-19.9842,57.6142,68.47,74,0,3.0,MU,clear sky
150,Asau,46.4333,26.4,58.12,72,0,3.94,RO,clear sky
151,Guerrero Negro,27.9769,-114.0611,64.31,76,0,16.4,MX,clear sky
152,Khandyga,62.6667,135.6,79.97,34,44,6.4,RU,scattered clouds
153,Lazurne,46.084,32.5295,70.83,62,0,4.79,UA,clear sky
154,Longyearbyen,78.2186,15.6401,37.24,65,75,18.41,SJ,broken clouds
155,Upernavik,72.7868,-56.1549,32.07,91,24,13.29,GL,few clouds
156,Port Elizabeth,-33.918,25.5701,51.31,93,0,4.61,ZA,clear sky
157,Ishigaki,24.3448,124.1572,89.73,79,20,13.8,JP,few clouds
158,Slavgorodskoye,53.0214,78.6435,72.3,51,1,6.46,RU,clear sky
159,Faya,18.3851,42.4509,70.32,40,100,1.95,SA,overcast clouds
160,Sao Joao Da Barra,-21.6403,-41.0511,67.82,76,64,3.98,BR,broken clouds
161,Ambilobe,-13.2,49.05,70.57,75,15,3.98,MG,few clouds
162,Inhambane,-23.865,35.3833,65.86,81,4,4.88,MZ,clear sky
163,Clarence Town,-32.5833,151.7833,64.62,54,91,3.2,AU,overcast clouds
164,Luanda,-8.8368,13.2343,69.8,83,75,8.05,AO,broken clouds
165,Lazaro Cardenas,17.9583,-102.2,80.19,79,99,3.94,MX,overcast clouds
166,Kigoma,-4.8769,29.6267,72.18,77,94,5.01,TZ,light rain
167,Poli,-3.3333,36.8,57.47,94,96,1.92,TZ,overcast clouds
168,Saint-Pierre,-21.3393,55.4781,67.91,94,100,13.8,RE,light rain
169,Barrow,71.2906,-156.7887,50.02,76,100,9.22,US,overcast clouds
170,Natchez,31.5604,-91.4032,80.04,67,0,6.91,US,clear sky
171,Kaitangata,-46.2817,169.8464,46.42,83,67,1.77,NZ,broken clouds
172,Iztapa,13.9333,-90.7075,77.49,85,100,7.56,GT,overcast clouds
173,Klaksvik,62.2266,-6.589,50.92,98,99,12.33,FO,overcast clouds
174,Kuruman,-27.4524,23.4325,50.0,49,31,13.02,ZA,scattered clouds
175,Nizhniy Kuranakh,58.8353,125.4869,80.46,30,71,7.92,RU,broken clouds
176,Ribeira Grande,38.5167,-28.7,63.43,75,25,21.81,PT,scattered clouds
177,Porto Velho,-8.7619,-63.9039,75.25,94,0,2.3,BR,clear sky
178,Shumikha,55.2261,63.2961,65.35,77,71,7.96,RU,broken clouds
179,Fortuna,40.5982,-124.1573,57.92,82,100,5.01,US,overcast clouds
180,Kizukuri,40.8061,140.3861,79.21,68,4,12.08,JP,clear sky
181,Bonthe,7.5264,-12.505,76.71,76,7,3.71,SL,clear sky
182,Marawi,7.9986,124.2928,77.79,82,74,2.95,PH,broken clouds
183,Maryborough,-25.5333,152.7,71.11,80,73,6.24,AU,broken clouds
184,Mago,53.2514,140.1822,74.98,43,27,4.79,RU,scattered clouds
185,Inverness,57.4791,-4.224,44.83,92,40,8.05,GB,scattered clouds
186,Wanaka,-44.7,169.15,39.9,92,24,1.63,NZ,few clouds
187,Kampene,-3.6,26.6667,66.87,97,97,1.48,CD,overcast clouds
188,Upington,-28.4478,21.2561,53.98,94,0,6.91,ZA,clear sky
189,Bambous Virieux,-20.3428,57.7575,68.22,88,40,4.61,MU,light intensity shower rain
190,Kailua,21.4022,-157.7394,85.98,71,40,12.66,US,scattered clouds
191,Nanortalik,60.1432,-45.2371,39.78,98,100,3.27,GL,overcast clouds
192,Vila Velha,-20.3297,-40.2925,67.95,95,100,2.3,BR,mist
193,Itarema,-2.9248,-39.9167,76.17,89,1,10.94,BR,clear sky
194,Severo-Kurilsk,50.6789,156.125,49.53,91,98,3.06,RU,overcast clouds
195,Rafai,4.95,23.9167,64.98,99,100,1.57,CF,overcast clouds
196,Avera,33.194,-82.5271,69.55,31,2,7.58,US,clear sky
197,Digha,21.6833,87.55,84.88,78,100,12.12,IN,overcast clouds
198,Narrabri,-30.3167,149.7833,69.53,51,30,1.99,AU,scattered clouds
199,Ifakara,-8.1333,36.6833,60.85,83,55,2.71,TZ,broken clouds
200,Provideniya,64.3833,-173.3,39.31,100,100,11.18,RU,fog
201,Chiredzi,-21.05,31.6667,54.41,97,1,5.32,ZW,clear sky
202,Chimbote,-9.0853,-78.5783,61.75,90,24,9.8,PE,few clouds
203,San Rafael,-34.6177,-68.3301,42.31,44,46,2.46,AR,scattered clouds
204,Wagar,16.1525,36.2032,81.79,54,75,12.71,SD,broken clouds
205,Hithadhoo,-0.6,73.0833,82.76,72,93,9.42,MV,overcast clouds
206,Comodoro Rivadavia,-45.8667,-67.5,39.06,56,0,13.8,AR,clear sky
207,Kamenka,51.3223,42.7678,67.32,77,50,13.91,RU,scattered clouds
208,Zlobin,45.2924,14.6541,60.62,76,0,5.75,HR,clear sky
209,Koumac,-20.5667,164.2833,72.97,58,2,17.05,NC,clear sky
210,Broome,42.2506,-75.833,51.62,78,2,3.24,US,clear sky
211,Caxito,-8.5785,13.6643,62.06,96,51,3.44,AO,broken clouds
212,Thompson,55.7435,-97.8558,75.36,60,75,8.05,CA,broken clouds
213,De Pere,44.4489,-88.0604,73.62,57,0,6.91,US,clear sky
214,Pionerskiy,54.9508,20.2275,57.04,84,97,7.14,RU,overcast clouds
215,Kavieng,-2.5744,150.7967,82.71,72,14,4.76,PG,light rain
216,Forest,37.3638,-79.2897,63.5,52,100,3.47,US,overcast clouds
217,Lucea,18.451,-78.1736,80.46,75,100,2.1,JM,overcast clouds
218,Cadereyta,25.5833,-99.9833,86.18,63,54,16.42,MX,broken clouds
219,Djambala,-2.5447,14.7533,69.3,68,100,4.34,CG,overcast clouds
220,Alice Springs,-23.7,133.8833,74.75,23,0,6.91,AU,clear sky
221,Bronnoysund,65.4625,12.1997,51.8,66,100,3.44,NO,overcast clouds
222,Ilam,26.9167,87.9167,73.89,88,85,5.1,NP,overcast clouds
223,Saldanha,-33.0117,17.9442,48.25,76,1,12.71,ZA,clear sky
224,Thinadhoo,0.5333,72.9333,83.77,68,68,9.73,MV,broken clouds
225,Ixtapa,20.7,-105.2,82.22,85,91,1.01,MX,overcast clouds
226,Ahipara,-35.1667,173.1667,54.57,78,100,15.17,NZ,overcast clouds
